Time,Input,Output,Temperature,Drive
0.0274376,-0.38856,-0.140791,39.4292,0.3
0.0276644,-0.432862,-0.159382,41.4115,0.3
0.0278912,-0.48174,-0.180699,43.7783,0.3
0.0281179,-0.528401,-0.202016,46.2944,0.3
0.0283447,-0.564314,-0.219458,48.5971,0.3
0.0285714,-0.580543,-0.228584,50.2466,0.3
0.0287982,-0.56925,-0.225284,50.799,0.3
0.0290249,-0.525112,-0.207459,50.2686,0.3
0.0292517,-0.446412,-0.1746,48.5505,0.3
0.0294785,-0.335585,-0.128372,45.3964,0.3
0.0297052,-0.19915,-0.0733962,40.7634,0.3
0.029932,-0.0469771,-0.016411,34.8118,0.3
0.0301587,0.108964,0.0363121,30.0188,0.3
0.0303855,0.256196,0.0858843,30.8169,0.3
0.0306122,0.383414,0.134265,35.693,0.3
0.030839,0.48196,0.176841,41.2455,0.3
0.0310658,0.546898,0.208203,45.904,0.3
0.0312925,0.577478,0.225217,49.0408,0.3
0.0315193,0.57696,0.227687,50.5013,0.3
0.031746,0.551826,0.21813,50.5228,0.3
0.0319728,0.510534,0.200968,49.7225,0.3
0.0321995,0.462034,0.180118,48.241,0.3
0.0324263,0.414304,0.159246,46.3007,0.3
0.0326531,0.373154,0.141077,44.1815,0.3
0.0328798,0.341479,0.126956,42.1403,0.3
0.0331066,0.319091,0.11684,40.3539,0.3
0.0333333,0.303111,0.109576,38.8884,0.3
0.0335601,0.288833,0.103317,37.6956,0.3
0.0337868,0.270885,0.0959891,36.6342,0.3
0.0340136,0.24445,0.0857603,35.5081,0.3
0.0342404,0.20632,0.071481,34.1147,0.3
0.0344671,0.155588,0.0530015,32.2919,0.3
0.0346939,0.0938507,0.0312593,29.9552,0.3
0.0349206,0.0249,0.0080606,27.1176,0.3
0.0351474,-0.046032,-0.0145368,24.7461,0.3
0.0353741,-0.113322,-0.0358339,24.9044,0.3
0.0356009,-0.172069,-0.0555995,27.0371,0.3
0.0358277,-0.219078,-0.072599,29.5902,0.3
0.0360544,-0.253494,-0.0858505,31.8512,0.3
0.0362812,-0.276959,-0.0953502,33.5975,0.3
0.0365079,-0.293253,-0.102143,34.8589,0.3
0.0367347,-0.307483,-0.108027,35.811,0.3
0.0369615,-0.324953,-0.115066,36.7024,0.3
0.0371882,-0.349932,-0.125068,37.7864,0.3
0.037415,-0.384564,-0.139145,39.2566,0.3
0.0376417,-0.428133,-0.157366,41.1933,0.3
0.0378685,-0.476821,-0.178511,43.5298,0.3
0.0380952,-0.524069,-0.199987,46.0456,0.3
0.038322,-0.561464,-0.218014,48.3886,0.3
0.0385488,-0.580045,-0.22817,50.124,0.3
0.0387755,-0.571795,-0.226263,50.8021,0.3
0.0390023,-0.531088,-0.209921,50.3692,0.3
0.039229,-0.455804,-0.178541,48.7845,0.3
0.0394558,-0.347963,-0.133488,45.7795,0.3
0.0396825,-0.213691,-0.0791069,41.2904,0.3
0.0399093,-0.0625773,-0.0219941,35.4581,0.3
0.0401361,0.0935533,0.031248,30.2365,0.3
0.0403628,0.2422,0.0809445,30.4815,0.3
0.0405896,0.371863,0.129588,35.136,0.3
0.0408163,0.473565,0.17301,40.7141,0.3
0.0410431,0.541969,0.205683,45.5007,0.3
0.0412698,0.575901,0.224188,48.8026,0.3
0.0414966,0.578247,0.228044,50.4285,0.3
0.0417234,0.555216,0.219494,50.561,0.3
0.0419501,0.515133,0.202916,49.8359,0.3
0.0421769,0.466968,0.18226,48.4142,0.3
0.0424036,0.418858,0.161247,46.5075,0.3
0.0426304,0.376867,0.142723,44.3937,0.3
0.0428571,0.344203,0.128178,42.3351,0.3
0.0430839,0.320978,0.117698,40.5183,0.3
0.0433107,0.304546,0.110224,39.021,0.3
0.0435374,0.290339,0.103957,37.8061,0.3
0.0437642,0.272993,0.0968264,36.7398,0.3
0.0439909,0.247585,0.0869542,35.6297,0.3
0.0442177,0.210706,0.0731047,34.2713,0.3
0.0444444,0.161203,0.0550203,32.4967,0.3
0.0446712,0.100429,0.0335349,30.2125,0.3
0.044898,0.0319808,0.010385,27.4216,0.3
0.0451247,-0.03901,-0.012335,24.8651,0.3
0.0453515,-0.106905,-0.0337583,24.7694,0.3
0.0455782,-0.166685,-0.0537243,26.7865,0.3
0.045805,-0.214948,-0.0710575,29.3412,0.3
0.0460317,-0.250591,-0.0847025,31.6469,0.3
0.0462585,-0.27501,-0.0945462,33.4466,0.3
0.0464853,-0.291806,-0.101538,34.7503,0.3
0.046712,-0.305998,-0.107421,35.7229,0.3
0.0469388,-0.322924,-0.114254,36.6085,0.3
0.0471655,-0.347013,-0.123895,37.663,0.3
0.0473923,-0.380661,-0.137542,39.0888,0.3
0.047619,-0.423457,-0.155381,40.9792,0.3
0.0478458,-0.471888,-0.176328,43.2832,0.3
0.0480726,-0.519637,-0.197924,45.795,0.3
0.0482993,-0.558424,-0.21649,48.174,0.3
0.0485261,-0.579276,-0.227634,49.9908,0.3
0.0487528,-0.574014,-0.227095,50.7938,0.3
0.0489796,-0.536712,-0.212229,50.4583,0.3
0.0492063,-0.464868,-0.182342,49.0042,0.3
0.0494331,-0.360071,-0.138508,46.1475,0.3
0.0496599,-0.228064,-0.0847906,41.8038,0.3
0.0498866,-0.078126,-0.027622,36.0941,0.3
